job_id=606358
array_job_id=606358
array_task_id=1
job_name=vs3n2fr2
partition=epyc
node_list=cent
excluded_nodes=bar,gyro,doom,fov
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full_repeat
case_label=gauss_sigma1p000
mode=gauss
sigma=1.0
planning_estimate=repeat full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate free ~27.9 h, gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T22:58:54+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_repeat_gauss_sigma1p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/1005310 0.0% t=0.00000 eta_s=nan E=-2.15315024 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000079 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531502357 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000007907
progress N=2 step 250/1005310 0.0% t=0.12500 eta_s=571257.6 E=-2.15312673 P=0.99965667 dP=-0.00000222 r12=8.04559880 Vg=0.00000080 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.62e-02
progress N=2 step 500/1005310 0.0% t=0.25000 eta_s=569500.2 E=-2.15304112 P=0.99964204 dP=-0.00001685 r12=8.04560160 Vg=0.00000083 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=4.95e-02
progress N=2 step 750/1005310 0.1% t=0.37500 eta_s=565376.3 E=-2.15289414 P=0.99960297 dP=-0.00005592 r12=8.04558509 Vg=0.00000086 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=2.94e-02
progress N=2 step 1000/1005310 0.1% t=0.50000 eta_s=562332.2 E=-2.15268693 P=0.99952716 dP=-0.00013173 r12=8.04555413 Vg=0.00000088 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=2.02e-02
progress N=2 step 1250/1005310 0.1% t=0.62500 eta_s=561873.7 E=-2.15242101 P=0.99940207 dP=-0.00025682 r12=8.04551915 Vg=0.00000089 norm=1.00000000 rank=36/256 sv_max=1.08e+02 resid=1.59e-02
progress N=2 step 1500/1005310 0.1% t=0.75000 eta_s=562251.6 E=-2.15209826 P=0.99921585 dP=-0.00044304 r12=8.04547927 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=1.09e+02 resid=1.32e-02
progress N=2 step 1750/1005310 0.2% t=0.87500 eta_s=562920.7 E=-2.15172092 P=0.99895977 dP=-0.00069912 r12=8.04542554 Vg=0.00000095 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.15e-02
progress N=2 step 2000/1005310 0.2% t=1.00000 eta_s=561522.0 E=-2.15129145 P=0.99862696 dP=-0.00103194 r12=8.04535674 Vg=0.00000101 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.01e-02
progress N=2 step 2250/1005310 0.2% t=1.12500 eta_s=560470.3 E=-2.15081235 P=0.99821262 dP=-0.00144627 r12=8.04528599 Vg=0.00000106 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=9.02e-03
